Block_Type,Alpha,CL,CD,CDp,CM,X,Y,x_coord,y_coord,z_coord
Performance,9.75,1.2022,0.01932,0.01239,-0.0312,0.049,1.0,,,
Performance,10.0,1.2216,0.01981,0.01294,-0.0299,0.0477,1.0,,,
Performance,10.25,1.2383,0.02036,0.01354,-0.0283,0.0461,1.0,,,
Performance,10.5,1.2536,0.02096,0.01419,-0.0265,0.0446,1.0,,,
Performance,10.75,1.2666,0.02174,0.01499,-0.0245,0.0431,1.0,,,
Performance,11.0,1.272,0.02305,0.01633,-0.0216,0.0415,1.0,,,
Performance,11.25,1.2875,0.02371,0.01709,-0.0201,0.0406,1.0,,,
Performance,11.5,1.3022,0.02444,0.01789,-0.0186,0.0394,1.0,,,
Performance,11.75,1.3157,0.02526,0.01878,-0.0171,0.0381,1.0,,,
Performance,12.0,1.3281,0.02618,0.01975,-0.0156,0.0369,1.0,,,
Performance,12.25,1.3363,0.02745,0.02104,-0.0139,0.0357,1.0,,,
Performance,12.5,1.3383,0.0293,0.02295,-0.0117,0.0345,1.0,,,
Performance,12.75,1.3516,0.03026,0.02403,-0.0107,0.0336,1.0,,,
Performance,13.0,1.3628,0.03143,0.02529,-0.0096,0.0325,1.0,,,
Performance,13.25,1.3727,0.03275,0.02667,-0.0086,0.0314,1.0,,,
Performance,13.5,1.3809,0.03426,0.02824,-0.0077,0.0305,1.0,,,
Performance,13.75,1.3838,0.03631,0.03033,-0.0067,0.0296,1.0,,,
Performance,14.0,1.3838,0.03874,0.03285,-0.0056,0.0287,1.0,,,
Performance,14.25,1.3917,0.04051,0.03475,-0.0052,0.0279,1.0,,,
Performance,14.5,1.3976,0.04251,0.03687,-0.0048,0.027,1.0,,,
Performance,14.75,1.4025,0.0447,0.03914,-0.0047,0.0262,1.0,,,
Performance,15.0,1.4063,0.04706,0.04157,-0.0047,0.0254,1.0,,,
Performance,15.25,1.407,0.04981,0.04438,-0.0049,0.0248,1.0,,,
Performance,15.5,1.3999,0.05341,0.04803,-0.0048,0.0241,1.0,,,
Performance,15.75,1.4008,0.0564,0.05116,-0.0053,0.0236,1.0,,,
Performance,16.0,1.4007,0.05959,0.05451,-0.006,0.023,1.0,,,
Performance,16.25,1.3992,0.06303,0.05807,-0.0068,0.0224,1.0,,,
Performance,16.5,1.3966,0.0667,0.06185,-0.0079,0.0219,1.0,,,
Performance,16.75,1.3936,0.07052,0.06576,-0.0091,0.0214,1.0,,,
Performance,17.0,1.3896,0.07453,0.06986,-0.0104,0.021,1.0,,,
Performance,17.25,1.3842,0.07879,0.07421,-0.0119,0.0206,1.0,,,
Performance,17.5,1.3769,0.08337,0.07885,-0.0136,0.0203,1.0,,,
Performance,17.75,1.3662,0.08827,0.08382,-0.015,0.0198,1.0,,,
Performance,18.0,1.3573,0.09332,0.08901,-0.0171,0.0196,1.0,,,
Performance,18.25,1.3482,0.09861,0.09446,-0.0194,0.0193,1.0,,,
Performance,18.5,1.3382,0.10412,0.10011,-0.0219,0.019,1.0,,,
Performance,18.75,1.3276,0.1098,0.10593,-0.0245,0.0187,1.0,,,
Performance,19.0,1.3169,0.11559,0.11185,-0.0273,0.0184,1.0,,,
Geometry,,,,,,,,1.0,0.0013,0
Geometry,,,,,,,,0.95,0.0114,0
Geometry,,,,,,,,0.9,0.0208,0
Geometry,,,,,,,,0.8,0.0375,0
Geometry,,,,,,,,0.7,0.0518,0
Geometry,,,,,,,,0.6,0.0636,0
Geometry,,,,,,,,0.5,0.0724,0
Geometry,,,,,,,,0.4,0.078,0
Geometry,,,,,,,,0.3,0.0788,0
Geometry,,,,,,,,0.25,0.0767,0
Geometry,,,,,,,,0.2,0.0726,0
Geometry,,,,,,,,0.15,0.0661,0
Geometry,,,,,,,,0.1,0.0563,0
Geometry,,,,,,,,0.075,0.0496,0
Geometry,,,,,,,,0.05,0.0413,0
Geometry,,,,,,,,0.025,0.0299,0
Geometry,,,,,,,,0.0125,0.0215,0
Geometry,,,,,,,,0.0,0.0,0
Geometry,,,,,,,,0.0125,-0.0165,0
Geometry,,,,,,,,0.025,-0.0227,0
Geometry,,,,,,,,0.05,-0.0301,0
Geometry,,,,,,,,0.075,-0.0346,0
Geometry,,,,,,,,0.1,-0.0375,0
Geometry,,,,,,,,0.15,-0.041,0
Geometry,,,,,,,,0.2,-0.0423,0
Geometry,,,,,,,,0.25,-0.0422,0
Geometry,,,,,,,,0.3,-0.0412,0
Geometry,,,,,,,,0.4,-0.038,0
Geometry,,,,,,,,0.5,-0.0334,0
Geometry,,,,,,,,0.6,-0.0276,0
Geometry,,,,,,,,0.7,-0.0214,0
Geometry,,,,,,,,0.8,-0.015,0
Geometry,,,,,,,,0.9,-0.0082,0
Geometry,,,,,,,,0.95,-0.0048,0
Geometry,,,,,,,,1.0,-0.0013,0
