Alpha,CL,CD,CDp,CM,X,Y
-15.25,-0.8999,0.08481,0.0819,-0.0365,1,0.0235
-15,-0.952,0.07088,0.06775,-0.0463,1,0.0232
-14.75,-0.9855,0.06054,0.05719,-0.0544,1,0.0231
-14.5,-1.0072,0.05275,0.04918,-0.0609,1,0.0232
-14.25,-1.0219,0.04686,0.04307,-0.0658,1,0.0234
-14,-1.0318,0.0425,0.03849,-0.0688,1,0.0237
-13.75,-1.0378,0.03941,0.0352,-0.07,1,0.0239
-13.5,-1.0497,0.0362,0.03177,-0.0694,1,0.0242
-13.25,-1.054,0.03399,0.02948,-0.0675,1,0.0247
-13,-1.0488,0.03291,0.02838,-0.0656,1,0.0252
-12.75,-1.0381,0.03207,0.0275,-0.0641,1,0.0257
-12.5,-1.0273,0.03117,0.02652,-0.0626,1,0.0264
-12.25,-1.0168,0.03019,0.02543,-0.0608,1,0.0271
-12,-1.0065,0.02917,0.02426,-0.0589,1,0.0278
-11.75,-0.9953,0.02829,0.02322,-0.0568,1,0.0285
-11.5,-0.9869,0.02685,0.02159,-0.0545,1,0.0291
-11.25,-0.9769,0.02537,0.02007,-0.0523,1,0.0299
-11,-0.962,0.02476,0.01944,-0.0505,1,0.0307
-10.75,-0.9469,0.0242,0.01884,-0.0487,1,0.0315
-10.5,-0.9318,0.02358,0.01813,-0.0467,1,0.0324
-10.25,-0.9166,0.02293,0.01738,-0.0448,1,0.0333
-10,-0.9007,0.02237,0.01668,-0.0429,1,0.034
-9.75,-0.8865,0.0213,0.01547,-0.0409,1,0.0348
-9.5,-0.8719,0.02019,0.01434,-0.039,1,0.0359
-9.25,-0.8546,0.01966,0.01379,-0.0374,1,0.0368
-9,-0.8367,0.01915,0.01325,-0.0358,1,0.0378
-8.75,-0.8185,0.01864,0.01266,-0.0343,1,0.0388
-8.5,-0.7877,0.01812,0.01206,-0.0353,0.9986,0.04
-8.25,-0.7531,0.01769,0.01152,-0.0369,0.9966,0.0408
-8,-0.7217,0.01639,0.01017,-0.0383,0.9948,0.0424
-7.75,-0.6878,0.01581,0.00959,-0.0399,0.9928,0.044
-7.5,-0.6543,0.01531,0.00904,-0.0413,0.9899,0.0454
-7.25,-0.6189,0.0148,0.00849,-0.0431,0.9873,0.0468
-7,-0.5811,0.0144,0.00801,-0.0453,0.9852,0.0482
-6.75,-0.5445,0.0136,0.00719,-0.0474,0.9832,0.0504
-6.5,-0.5126,0.0131,0.00669,-0.0484,0.9786,0.0525
-6.25,-0.4767,0.01269,0.00626,-0.0502,0.9759,0.055
-6,-0.4394,0.01227,0.0058,-0.0522,0.974,0.0582
-5.75,-0.4016,0.01177,0.00535,-0.0545,0.9725,0.064
-5.5,-0.3704,0.01135,0.00495,-0.0552,0.9675,0.0715
-5.25,-0.3366,0.01094,0.00461,-0.0565,0.9637,0.0836
-5,-0.3017,0.01058,0.0043,-0.058,0.9606,0.098
-4.75,-0.2717,0.01028,0.00404,-0.0584,0.9549,0.1109
-4.5,-0.2416,0.00999,0.00379,-0.0588,0.9488,0.1241
-4.25,-0.2107,0.00969,0.00354,-0.0593,0.9438,0.1394
-4,-0.1846,0.00941,0.00333,-0.0588,0.9347,0.1573
-3.75,-0.1557,0.00913,0.00312,-0.0589,0.9283,0.1814
-3.5,-0.1299,0.00886,0.00295,-0.0583,0.9182,0.2093
-3.25,-0.1026,0.0086,0.00279,-0.0581,0.9096,0.2396
-3,-0.0758,0.00837,0.00265,-0.0577,0.8995,0.2712
-2.75,-0.0492,0.00815,0.00253,-0.0573,0.8888,0.3069
-2.5,-0.0223,0.00792,0.0024,-0.057,0.8783,0.3436
-2.25,0.0042,0.00769,0.00228,-0.0566,0.8667,0.3827
-2,0.0306,0.00747,0.00219,-0.0562,0.8542,0.4278
-1.75,0.0569,0.00724,0.00211,-0.0558,0.8416,0.481
-1.5,0.083,0.00703,0.00205,-0.0553,0.8288,0.5417
